Holdings details

FTSE Emerging Markets ETF (VWO)


Equity,as of 09/30/2020

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITY DEPOSITORY RECEIPT TYPE,MARKET VALUE*,SHARES
,6346333,Novatek Microelectronics Corp.,3034,0.08%,Semiconductors,TW,---,"$71,354,763.01","7,735,560"
,6713982,Qatar Islamic Bank SAQ,QIBK,0.08%,Diversified Banks,QA,---,"$71,292,295.53","15,715,238"
,B0CGYD6,Lojas Renner SA,LREN3,0.08%,Department Stores,BR,---,"$70,580,791.39","9,996,839"
,6136233,Hengan International Group Co. Ltd.,1044,0.08%,Personal Products,CN,---,"$69,797,058.85","9,535,026"
,BD3DS68,China Evergrande Group,3333,0.08%,Real Estate Development,CN,---,"$69,472,368.64","27,070,057"
,BYWT1W1,iQIYI Inc.,IQ,0.08%,Movies & Entertainment,CN,ADR,"$69,454,657.46","3,075,937"
,BZBFKT7,Bid Corp. Ltd.,BID,0.08%,Food Distributors,ZA,---,"$69,112,030.61","4,492,084"
,B12LZT1,Banque Saudi Fransi,1050,0.08%,Diversified Banks,SA,---,"$69,000,618.78","7,983,153"
,6290496,Taiwan Mobile Co. Ltd.,3045,0.08%,Wireless Telecommunication Services,TW,---,"$68,804,170.12","20,585,941"
,6139340,Titan Co. Ltd.,TITAN,0.08%,"Apparel, Accessories & Luxury Goods",IN,---,"$68,793,839.11","4,214,296"
,BWFGD63,Tech Mahindra Ltd.,TECHM,0.08%,IT Consulting & Other Services,IN,---,"$67,700,237.34","6,290,364"
,BLZGSM7,Bangkok Dusit Medical Services PCL,BDMS-F,0.08%,Health Care Facilities,TH,---,"$67,559,133.86","110,184,145"
,B0Y91C1,China National Building Material Co. Ltd.,3323,0.08%,Construction Materials,CN,---,"$67,172,843.56","52,707,473"
,6673570,Industries Qatar QSC,IQCD,0.08%,Industrial Conglomerates,QA,---,"$66,880,952.18","24,616,937"
,6818843,SM Prime Holdings Inc.,SMPH,0.08%,Real Estate Operating Companies,PH,---,"$66,715,334.84","109,474,378"
,BF0TRG6,HDFC Life Insurance Co. Ltd.,HDFCLIFE,0.08%,Life & Health Insurance,IN,---,"$66,588,084.50","8,771,380"
,B0DK750,Novatek PJSC,NVTK,0.08%,Oil & Gas Exploration & Production,RU,GDR,"$66,170,324.89","483,402"
,BDRYVB3,Ping An Healthcare and Technology Co. Ltd.,1833,0.08%,Health Care Technology,CN,---,"$66,130,956.56","5,125,295"
,6055112,Ayala Land Inc.,ALI,0.07%,Diversified Real Estate Activites,PH,---,"$65,665,730.02","106,694,427"
,6099723,Bharat Petroleum Corp. Ltd.,BPCL,0.07%,Oil & Gas Refining & Marketing,IN,---,"$65,214,270.86","13,625,744"
,2634117,United Microelectronics Corp.,UMC,0.07%,Semiconductors,US,ADR,"$65,019,737.82","13,574,058"
,B7FQV64,Raia Drogasil SA,RADL3,0.07%,Drug Retail,BR,---,"$64,806,704.36","15,540,050"
,BJYKB72,Hansoh Pharmaceutical Group Co. Ltd.,3692,0.07%,Pharmaceuticals,CN,---,"$63,979,181.79","13,090,000"
,6440859,Capitec Bank Holdings Ltd.,CPI,0.07%,Diversified Banks,ZA,---,"$63,854,714.06","1,036,751"
,6704986,President Chain Store Corp.,2912,0.07%,Food Retail,TW,---,"$63,436,743.27","6,969,449"
